,代码,名称,收盘价,5日均线,10日均线,20日均线,30日交易量,30日交易额
524,600231.XSHG,凌钢股份,2.52,1.9620000000000002,2.106,2.181,335866419.0,790194687.46
525,002647.XSHE,仁东控股,36.93,29.046,32.435,33.1725,105227302.0,3683863835.4199996
526,002509.XSHE,天茂退,0.18,0.13999999999999999,0.16399999999999998,0.20900000000000002,1211755506.0,235931260.94
527,002129.XSHE,中环股份,26.85,21.131999999999998,21.854,20.957500000000003,2146789021.0,48053427616.590004
528,002160.XSHE,常铝股份,5.42,4.220000000000001,4.364,4.454000000000001,917158415.0,4404738932.659999
529,300486.XSHE,东杰智能,20.08,15.898,17.275,18.473000000000003,37420385.0,728993486.9599999
530,600872.XSHG,中炬高新,59.8,45.976,51.75099999999999,53.06049999999999,120157795.0,6716977146.209999
531,600306.XSHG,*ST商城,4.87,3.882,4.308,4.6095,49039491.0,244385266.13000005
532,000937.XSHE,冀中能源,3.59,2.808,2.9539999999999997,2.9895000000000005,481758605.0,1571541389.44
533,300672.XSHE,国科微,63.43,48.248000000000005,50.43900000000001,50.2235,66049240.0,3607053115.4399996
534,300127.XSHE,银河磁体,18.25,14.146,15.133000000000001,15.647499999999997,142793186.0,2395281645.28
535,300339.XSHE,润和软件,12.26,9.202,9.753000000000002,9.665,541392560.0,5656097295.84
536,300785.XSHE,值得买,139.8,105.01799999999999,113.17699999999999,115.93400000000004,25871453.0,3175137950.3100004
537,600733.XSHG,北汽蓝谷,7.7,5.9799999999999995,6.237,6.4975,543496887.0,3769240309.8999996
538,603313.XSHG,梦百合,26.2,20.362000000000002,22.108999999999998,23.365999999999996,125019222.0,3075627015.1000004
539,300507.XSHE,苏奥传感,11.72,8.594,9.127,9.5335,127321373.0,1273022448.9899998
540,600961.XSHG,株冶集团,9.4,6.99,6.599000000000001,6.2219999999999995,233742889.0,1803231172.1100001
541,300314.XSHE,戴维医疗,20.57,14.536000000000001,14.559999999999999,12.963999999999999,211574720.0,3038285856.7200003
542,300494.XSHE,盛天网络,25.7,20.78,22.535000000000004,22.065499999999993,677995329.0,15985640793.98
543,601865.XSHG,福莱特,20.7,16.407999999999998,17.987999999999996,16.741000000000003,288905654.0,5268756354.650001
544,002678.XSHE,珠江钢琴,7.96,6.168,6.737,6.9915,44384116.0,328909936.4
545,600861.XSHG,北京城乡,15.02,11.768,13.017,13.776999999999997,307366231.0,4500593757.5
546,002846.XSHE,英联股份,21.24,15.075999999999999,15.881,16.496500000000005,91643010.0,1663375400.3000002
547,601179.XSHG,中国西电,6.09,4.6899999999999995,4.897,4.9245,1850551842.0,9826820535.61
548,000736.XSHE,中交地产,8.34,6.766,7.033000000000001,6.868500000000002,270078275.0,2047557406.09
549,002032.XSHE,苏泊尔,77.9,62.35,67.67899999999999,67.409,39869057.0,2863390230.0299997
550,300045.XSHE,华力创通,16.23,11.756,12.294,12.8905,845515059.0,11776635108.97
551,601872.XSHG,招商轮船,7.15,5.534000000000001,5.709,5.717,1770417895.0,11192426374.68
552,002536.XSHE,飞龙股份,7.17,5.552,6.048,6.417999999999999,640611595.0,4330086637.36
553,002070.XSHE,众和退,,,,,,
554,000695.XSHE,滨海能源,8.39,6.470000000000001,7.025999999999999,7.522499999999999,26905634.0,213827145.97
555,002675.XSHE,东诚药业,20.76,16.248,18.256,19.4855,272143688.0,5553331533.860001
556,603086.XSHG,先达股份,16.31,12.703999999999999,13.832999999999998,14.230999999999998,31822839.0,481900407.75
557,300273.XSHE,和佳医疗,8.57,6.572,7.132,7.352999999999999,643220170.0,5025080927.110001
558,603928.XSHG,兴业股份,11.98,9.412,10.198,10.4655,25836866.0,288595963.52
559,688388.XSHG,嘉元科技,68.95,52.129999999999995,54.281000000000006,54.758,58762277.0,3481346026.7899995
560,300850.XSHE,新强联,,,,,,
561,600851.XSHG,海欣股份,8.43,6.601999999999999,7.087000000000001,7.244,72244010.0,567415922.19
562,300291.XSHE,华录百纳,5.92,4.616,4.984,5.183000000000001,285676332.0,1587633566.6100001
563,000972.XSHE,ST中基,2.8,2.2520000000000002,2.511,2.5879999999999996,71542519.0,196895164.20000002
564,603706.XSHG,东方环宇,20.27,15.437999999999999,16.625000000000004,16.922500000000003,55338963.0,1008174990.4099998
565,600343.XSHG,航天动力,9.1,6.978,7.401999999999999,7.664499999999999,157563498.0,1328373398.01
566,000428.XSHE,华天酒店,3.59,2.8080000000000003,3.0650000000000004,3.2364999999999995,179626716.0,616396530.2499999
567,300153.XSHE,科泰电源,5.69,4.416,4.786,5.0040000000000004,64155374.0,341782495.54
568,600809.XSHG,山西汾酒,151.2,120.02399999999997,133.924,134.374,106035072.0,15129082208.880001
569,600340.XSHG,华夏幸福,20.42,16.022,16.637999999999998,16.437000000000005,611615964.0,10926576050.050001
570,002971.XSHE,和远气体,26.77,20.826,22.889000000000003,23.100999999999996,62243187.0,1540488709.7599998
571,002172.XSHE,澳洋健康,2.81,2.1700000000000004,2.328,2.442,236835001.0,615550050.98
572,300670.XSHE,大烨智能,6.92,5.406000000000001,5.782000000000001,6.016999999999999,59271968.0,379796099.8000001
573,002751.XSHE,易尚展示,24.62,19.092000000000002,20.746000000000002,21.6705,90228726.0,2069138952.82
574,601199.XSHG,江南水务,4.64,3.4299999999999997,3.6750000000000007,3.7815,161718815.0,655978421.8599999
575,002956.XSHE,西麦食品,53.54,41.714,46.933,44.0835,80671837.0,3797291044.52
576,002041.XSHE,登海种业,14.06,10.918000000000001,11.84,11.918,565362008.0,7199207200.93
577,603937.XSHG,丽岛新材,13.62,11.19,13.083000000000002,13.9555,176463754.0,2548344017.08
578,600909.XSHG,华安证券,9.12,6.9959999999999996,7.054,6.916500000000001,1989144939.0,15375551344.43
579,600104.XSHG,上汽集团,19.32,15.492,16.531,16.816,974752431.0,17619412066.98
580,603110.XSHG,东方材料,16.25,12.712,13.732,14.335999999999999,31684778.0,482809977.85999995
581,300641.XSHE,正丹股份,5.15,4.022,4.359,4.592000000000001,115212333.0,569132565.1899999
582,603010.XSHG,万盛股份,16.16,12.441999999999998,13.222999999999999,13.891499999999999,146742112.0,2155142966.08
583,300205.XSHE,天喻信息,12.25,9.248000000000001,9.847,10.124,171120603.0,1875407658.1599998
584,603496.XSHG,恒为科技,26.11,19.674,20.831,21.159000000000002,80869409.0,1830219712.3400002
585,000766.XSHE,通化金马,5.34,4.136,4.483,4.694500000000001,157899367.0,787835614.64
586,600449.XSHG,宁夏建材,14.1,10.99,11.831,12.287,281152726.0,3652102553.15
587,002588.XSHE,史丹利,4.75,3.682,3.9690000000000003,4.108,245063973.0,1073315419.49
588,603926.XSHG,铁流股份,12.31,9.676,10.503000000000002,10.870999999999999,25532124.0,294893425.84000003
589,603138.XSHG,海量数据,24.77,17.996,18.589000000000002,18.395999999999997,214567635.0,4156029058.4000006
590,002480.XSHE,新筑股份,6.66,5.142,5.516,5.736,637109410.0,3904814353.499999
591,600352.XSHG,浙江龙盛,14.27,11.162,11.966000000000001,12.225999999999999,1201066312.0,15751587756.210003
592,002038.XSHE,双鹭药业,13.4,10.443999999999999,11.449,11.646,279592676.0,3446875342.68
593,688369.XSHG,致远互联,84.72,66.072,71.478,71.2505,25647210.0,1934197351.8699996
594,002336.XSHE,ST人乐,5.55,4.368,4.816999999999999,5.058499999999999,53595425.0,287954859.83
595,605001.XSHG,威奥股份,21.89,17.256,18.917,20.325,113038294.0,2427880687.3900003
596,603299.XSHG,苏盐井神,6.64,5.226,5.686000000000001,5.8305,111986645.0,701541513.36
597,000605.XSHE,渤海股份,6.56,5.087999999999999,5.534,5.771,66747901.0,411350330.28999996
598,002793.XSHE,罗欣药业,13.9,10.844,11.97,12.398499999999999,97235412.0,1280128588.3899999
599,000785.XSHE,居然之家,9.15,6.976000000000001,7.468000000000001,7.7379999999999995,94486780.0,782851874.31
600,688528.XSHG,秦川物联,30.61,24.176,,,,
601,300049.XSHE,福瑞股份,11.23,8.474,9.22,9.422499999999998,219626084.0,2181920836.84
602,601012.XSHG,隆基股份,46.35,36.227999999999994,38.644000000000005,36.412000000000006,972233035.0,37947167322.78999
603,603701.XSHG,德宏股份,10.48,8.168000000000001,8.761,9.007000000000001,231256161.0,2226790686.25
604,603709.XSHG,中源家居,25.42,19.93,21.580000000000002,22.384999999999998,23638824.0,563245145.76
605,603758.XSHG,秦安股份,7.48,5.892,6.3340000000000005,6.5055000000000005,50565797.0,351066103.54
606,300510.XSHE,金冠股份,4.85,3.772,4.097,4.3389999999999995,308477685.0,1423352311.8700004
607,300477.XSHE,合纵科技,7.38,5.804,6.366999999999999,6.717999999999999,281043945.0,1994770645.54
608,601700.XSHG,风范股份,5.86,4.561999999999999,4.911,5.103499999999999,335943030.0,1830303782.31
609,001965.XSHE,招商公路,7.71,6.2620000000000005,6.619,6.659500000000001,210120953.0,1573233983.0900002
610,000722.XSHE,湖南发展,6.49,5.082000000000001,5.517999999999999,5.752,66784826.0,409825055.98
611,000567.XSHE,海德股份,15.44,12.09,12.678,13.597999999999999,738954647.0,10775156581.380003
612,002425.XSHE,凯撒文化,20.25,15.766000000000002,16.595,15.251500000000002,2587627494.0,45479951008.0
613,300480.XSHE,光力科技,19.13,14.142,14.728,14.603500000000002,137965432.0,2176758822.46
614,002247.XSHE,*ST聚力,1.54,1.194,1.3330000000000002,1.4039999999999997,254707897.0,377770421.53999996
615,688396.XSHG,华润微,58.05,46.476,46.449,43.1025,512379113.0,24696739977.050003
616,601011.XSHG,宝泰隆,4.38,3.4259999999999997,3.649,3.807,1042655291.0,4217779528.63
617,300169.XSHE,天晟新材,8.49,6.812,7.275999999999999,7.450000000000003,232741126.0,1823975873.0599997
618,000957.XSHE,中通客车,7.34,5.738,6.165000000000001,6.378500000000001,177462237.0,1213370227.6
619,300506.XSHE,名家汇,5.59,4.35,4.696,4.993,168056691.0,886911586.6599998
620,300114.XSHE,中航电测,13.3,10.308000000000002,10.921,10.9965,229617067.0,2720602400.6999993
621,603577.XSHG,汇金通,11.55,9.026,9.796,10.026500000000002,133440090.0,1431089019.66
622,600526.XSHG,菲达环保,5.42,4.252000000000001,4.607,4.8020000000000005,116558104.0,598072217.7199999
623,603089.XSHG,正裕工业,11.5,8.698,9.248999999999999,9.262500000000001,70807355.0,698631289.9900001
624,300566.XSHE,激智科技,30.77,24.402,25.95,26.534000000000002,98395940.0,2776383794.07
625,300242.XSHE,佳云科技,7.4,5.531999999999999,6.015,6.574499999999999,1633913076.0,11685228271.139997
626,601901.XSHG,方正证券,8.97,7.124,7.267,7.1325,1431390721.0,11578628742.48
627,000681.XSHE,视觉中国,20.6,15.876,17.322,18.5785,343315015.0,6758243638.099998
628,603367.XSHG,辰欣药业,17.3,13.558000000000002,14.837000000000003,15.463000000000003,105761011.0,1731987118.5
629,002937.XSHE,兴瑞科技,16.15,12.542,13.41,13.925999999999998,90513977.0,1346047482.1900003
630,002783.XSHE,凯龙股份,12.84,9.190000000000001,9.485000000000001,9.609499999999999,144995200.0,1570766201.54
631,300058.XSHE,蓝色光标,8.77,6.8740000000000006,7.386,7.789500000000001,3452058830.0,28806367011.22
632,002494.XSHE,华斯股份,5.15,4.018000000000001,4.368,4.559,175925851.0,849604395.3800002
633,002574.XSHE,明牌珠宝,5.28,4.096,4.416,4.5715,124060112.0,612026822.95
634,603950.XSHG,长源东谷,25.39,19.966,21.843,23.343999999999998,129020241.0,3190077077.6899996
635,300356.XSHE,光一科技,6.75,5.282,5.651,5.676499999999999,640904033.0,3899862501.1499996
636,002865.XSHE,钧达股份,14.6,11.474,12.466999999999999,13.040000000000001,51945622.0,718602045.8699999
637,002659.XSHE,凯文教育,6.79,5.186,5.457999999999999,5.598000000000001,172346057.0,1053801448.3499999
638,600956.XSHG,新天绿能,9.81,6.8420000000000005,6.216,,,
639,300390.XSHE,天华超净,18.48,13.054000000000002,13.514999999999997,13.395000000000001,589028574.0,8319048108.749999
640,002763.XSHE,汇洁股份,7.65,5.986,6.517,6.837000000000001,42705841.0,309401006.96999997
641,600095.XSHG,哈高科,13.35,10.226,10.421000000000001,10.541999999999998,991126989.0,11287425181.3
642,600660.XSHG,福耀玻璃,22.4,18.166000000000004,19.708000000000002,20.423,339829443.0,7400157638.639999
643,002284.XSHE,亚太股份,5.74,4.524000000000001,4.757,4.8115000000000006,229887149.0,1226570045.5
644,601015.XSHG,陕西黑猫,3.31,2.45,2.598,2.6515,257202119.0,743658166.5600001
645,300308.XSHE,中际旭创,70.17,53.80400000000001,58.027,59.551,159929950.0,10136785884.460001
646,002268.XSHE,卫士通,25.0,19.183999999999997,20.362,20.801499999999997,305315760.0,6811131777.41
647,300720.XSHE,海川智能,17.45,13.88,14.873999999999999,15.234,34214019.0,556395075.22
648,002083.XSHE,孚日股份,5.9,4.568,5.019,5.237500000000001,984015167.0,5479747203.04
649,600692.XSHG,亚通股份,7.65,6.002,6.5760000000000005,6.689,179168670.0,1274804025.27
650,002697.XSHE,红旗连锁,11.15,8.712,9.745000000000001,10.303999999999998,398520391.0,4310708253.53
651,601086.XSHG,国芳集团,5.19,4.024,4.374,4.548,141660146.0,685265538.6500001
652,002838.XSHE,道恩股份,35.48,25.841999999999995,27.380000000000003,28.500500000000006,404391531.0,12321911305.87
653,600963.XSHG,岳阳林纸,4.51,3.35,3.4800000000000004,3.5229999999999997,355727145.0,1375442665.62
654,601101.XSHG,昊华能源,4.73,3.6660000000000004,3.7030000000000003,3.6414999999999997,276890525.0,1158172616.0200002
655,600257.XSHG,大湖股份,4.03,3.16,3.435,3.557,230001263.0,869651980.3299999
656,600096.XSHG,云天化,5.25,4.132,4.468,4.624499999999999,186346340.0,923064860.31
657,600824.XSHG,益民集团,4.75,3.5140000000000002,3.781,3.997,477246334.0,2075534801.0200005
658,002287.XSHE,奇正藏药,22.0,17.312,19.024,19.826,75263932.0,1579478725.1399999
